acquia/blt                                                11.2.0                  BLT
drupal/entityqueue                                        1.0.0-alpha8            The Entityqueue m...
drupal/eu_cookie_compliance                               1.8.0                   This module aims ...
drupal/externalauth                                       1.1.0                   Helper module to ...
drupal/facets                                             1.3.0                   The Facet module ...
drupal/facets_pretty_paths                                1.0.0-beta2             Pretty paths for ...
drupal/fallback_formatter                                 1.0.0                   Provides a field ...
drupal/fb_instant_articles                                2.x-dev 98b7a24         Drupal Facebook I...
drupal/features                                           3.8.0                   Enables administr...
drupal/field_formatter_range                              1.0.0                   Enhances the fiel...
drupal/field_group                                        3.0.0                   Provides the fiel...
drupal/filebrowser                                        2.2.0                   Provides FTP-like...
drupal/focal_point                                        1.2.0                   Allows users to s...
drupal/geocoder                                           2.7.0                   A Drupal module a...
drupal/geofield                                           1.8.0                   Stores geographic...
drupal/geolocation                                        1.11.0                  Provides a simple...
drupal/google_tag                                         1.x-dev d247194         Allows your websi...
drupal/hierarchical_term_formatter                        1.0.0-beta1             Provides hierarch...
drupal/honeypot                                           1.30.0                  Mitigates spam fo...
drupal/image_style_quality                                1.3.0                   Provides an image...
drupal/image_widget_crop                                  2.2.0                   Provides an inter...
drupal/inline_entity_form                                 1.0.0-rc2               Provides a widget...
drupal/key_value                                          1.1.0                   Extends the core ...
drupal/layout_builder_restrictions                        2.5.0                   Manage which fiel...
drupal/layout_builder_st                                  1.0.0-alpha1            Allows translatin...
drupal/layout_builder_styles                              1.0.0-beta1             Apply styles to b...
drupal/layout_library                                     1.0.0-beta1             Provides a librar...
drupal/libraries                                          3.0.0-alpha1            Allows version-de...
drupal/lightning_api                                      4.4.0                   Progressive decou...
drupal/lightning_core                                     5.0.0                   Shared functional...
drupal/lightning_layout                                   2.5.0                   Provides the tool...
drupal/lightning_media                                    3.15.0                  Slick media handl...
drupal/lightning_workflow                                 3.14.0                  Tools to improve ...
drupal/link_attributes                                    1.10.0                  Provides a widget...
drupal/linkit                                             4.3.0                   Linkit - Enriched...
drupal/mailsystem                                         4.1.0                   Mail System
drupal/media_acquiadam                                    1.38.0                  Integrates the Me...
drupal/media_entity                                       2.0.0-beta3             Media entity API.
drupal/media_entity_actions                               1.0.0-alpha2            Provides Actions ...
drupal/media_entity_image                                 1.3.0                   Local images inte...
drupal/media_entity_instagram                             2.0.0                   Media Entity Inst...
drupal/media_entity_soundcloud                            2.x-dev a85d306         Media entity soun...
drupal/media_entity_twitter                               2.3.0                   Media Entity Twit...
drupal/memcache                                           2.0.0                   High performance ...
drupal/menu_block                                         1.5.0                   Provides configur...
drupal/menu_export                                        1.2.0                   This module expor...
drupal/metatag                                            1.11.0                  Manage meta tags ...
drupal/migrate_plus                                       4.2.0                   Enhancements to c...
drupal/migrate_source_csv                                 2.2.0                   CSV source migrat...
drupal/migrate_tools                                      4.5.0                   Tools to assist i...
drupal/minifyhtml                                         1.6.0                   Minify the conten...
drupal/moderation_dashboard                               1.0.0-beta1             Provides a per-us...
drupal/moderation_sidebar                                 1.3.0                   Provides a fronte...
drupal/multiversion                                       1.0.0-beta1             Extends the revis...
drupal/name                                               1.0.0-rc1               Defines a persons...
drupal/node_revision_delete                               1.0.0-beta3             Track and prune n...
drupal/openapi                                            1.0.0-beta6             Creates OpenAPI s...
drupal/openapi_ui                                         1.0.0-rc2               Provides plugin s...
drupal/openapi_ui_redoc                                   1.0.0-rc2               Provides display ...
drupal/openapi_ui_swagger                                 1.0.0-rc3               Creates OpenAPI s...
drupal/page_manager                                       4.0.0-beta4             Provides a way to...
drupal/panelizer                                          4.2.0                   Allow any entity ...
drupal/panels                                             4.4.0                   Core Panels displ...
drupal/panels_ipe                                         4.4.0                   Panels In-place e...
drupal/paragraphs                                         1.10.0                  Enables the creat...
drupal/paragraphs_admin                                   1.0.0                   Additional admin ...
drupal/path_redirect_import                               1.0.0-beta2             Provides the abil...
drupal/pathauto                                           1.6.0                   Provides a mechan...
drupal/permissions_by_term                                1.61.0                  Restricts access ...
drupal/poll                                               1.2.0                   Allows your site ...
drupal/purge                                              3.0.0-beta9             Provides a generi...
drupal/purge_drush                                        3.0.0-beta9             Administrative Dr...
drupal/qa_accounts                                        1.0.0-alpha1            Creates dummy acc...
drupal/rabbit_hole                                        1.0.0-beta6             Change what happe...
drupal/recaptcha                                          2.3.0                   Protect your webs...
drupal/redirect                                           1.5.0                   Allows users to r...
drupal/relaxed                                            1.0.0-beta16            Provides a RESTfu...
drupal/replication                                        1.0.0-beta24            Provides services...
drupal/responsive_favicons                                1.5.0                   Add responsive fa...
drupal/robotstxt                                          1.3.0                   Generates the rob...
drupal/schema_metatag                                     1.4.0                   Metatag implement...
drupal/schemata                                           1.0.0-beta1             Facilitate genera...
drupal/schemata_json_schema                               1.0.0-beta1             Provides a data m...
drupal/search_api                                         1.15.0                  Provides a generi...
drupal/search_api_autocomplete                            1.2.0                   Adds autocomplete...
drupal/search_api_location                                1.0.0-alpha1            Provides location...
drupal/search_api_solr                                    1.4.0                   Offers an impleme...
drupal/search_api_sorts                                   1.0.0-beta1             Create sort optio...
drupal/search_api_synonym                                 1.2.0                   Managing of searc...
drupal/seckit                                             1.2.0                   SecKit provides D...
drupal/security_review                                    1.x-dev 9b8a34a         Site security and...
drupal/sharethis                                          2.x-dev 6a7a20b         Add the <a href="...
drupal/shield                                             1.2.0                   Creates a general...
drupal/simple_gmap                                        1.4.0                   Provides a Google...
drupal/simple_oauth                                       3.16.0                  The Simple OAuth ...
drupal/simple_oauth_extras                                3.16.0                  OAuth2 extra acce...
drupal/simple_sitemap                                     3.5.0                   Creates a standar...
drupal/simplesamlphp_auth                                 3.0.0                   Allows users to a...
drupal/simplify                                           1.1.0                   Simplifies the us...
drupal/siteimprove                                        1.1.0                   Integration with ...
drupal/slick                                              2.0.0                   Slick carousel, t...
drupal/slick_entityreference                              2.0.0                   Slick entity refe...
drupal/smtp                                               1.0.0-beta6             Allow for site em...
drupal/taxonomy_menu                                      3.4.0                   Creates menu item...
drupal/term_csv_export_import                             2.0.0-alpha1            Import and Export...
drupal/token                                              1.6.0                   Provides a user i...
drupal/trash                                              1.0.0-alpha1            Displays deleted ...
drupal/twig_tweak                                         1.9.0                   A Twig extension ...
drupal/vbo_export                                         3.0.0                   Views bulk export...
drupal/video_embed_field                                  2.2.0                   A pluggable field...
drupal/views_bulk_edit                                    2.4.0                   Allows bulk editi...
drupal/views_bulk_operations                              2.6.0                   Adds an ability t...
drupal/views_data_export                                  1.0.0-beta3             Plugin to export ...
drupal/views_ef_fieldset                                  1.4.0                   Provide an option...
drupal/views_infinite_scroll                              1.6.0                   A pager which all...
drupal/views_taxonomy_term_name_depth                     1.2.0                   The module provid...
drupal/views_templates                                    1.0.0-alpha1            Reintroduces dyna...
drupal/views_url_alias                                    1.0.0                  
drupal/viewsreference                                     1.4.0                   Views Reference
drupal/webform                                            5.1.0                   Enables the creat...
drupal/workspace                                          1.0.0-beta23            The workspace module
drupal/xmlsitemap                                         1.0.0-alpha3            Creates XML sitem...
drupal/zen                                                7.0.0-alpha14           Zen sub-themes ar...
drupol/phposinfo                                          1.6.3                   Try to guess the ...
drush/drush                                               9.7.2                   Drush is a comman...
easyrdf/easyrdf                                           0.9.1                   EasyRdf is a PHP ...
egeloen/http-adapter                                      0.8.0                   Issue HTTP reques...
egulias/email-validator                                   2.1.11                  A library for val...
ezyang/htmlpurifier                                       v4.12.0                 Standards complia...
fabpot/goutte                                             v3.2.3                  A simple PHP Web ...
facebook/facebook-instant-articles-sdk-php                v1.10.1                 Facebook Instant ...
facebook/graph-sdk                                        5.7.0                   Facebook SDK for PHP
geerlingguy/drupal-vm                                     4.9.2                   A VM for local Dr...
gettext/gettext                                           v4.8.2                  PHP gettext manager
gettext/languages                                         2.6.0                   gettext languages...
graphp/algorithms                                         v0.8.1                  Common mathematic...
grasmash/drupal-security-warning                          1.1.1                   Warns users insta...
grasmash/expander                                         1.0.0                   Expands internal ...
grasmash/yaml-cli                                         1.0.4                   A command line to...
grasmash/yaml-expander                                    1.4.0                   Expands internal ...
guzzlehttp/guzzle                                         6.3.3                   Guzzle is a PHP H...
guzzlehttp/promises                                       v1.3.1                  Guzzle promises l...
guzzlehttp/psr7                                           1.6.1                   PSR-7 message imp...
harvesthq/chosen                                          v1.8.7                  Chosen is a JavaS...
igorw/get-in                                              v1.0.3                  Functions for for...
instaclick/php-webdriver                                  1.4.7                   PHP WebDriver for...
j7mbo/twitter-api-php                                     1.0.6                   Simple PHP Wrappe...
jakub-onderka/php-console-color                           v0.2                   
jakub-onderka/php-console-highlighter                     v0.4                    Highlight PHP cod...
jarnaiz/behat-junit-formatter                             v1.3.2                  Behat 3 JUnit xml...
jean85/pretty-package-versions                            1.2                     A wrapper for ocr...
kub-at/php-simple-html-dom-parser                         1.9.1                   PHP Simple HTML D...
lcobucci/jwt                                              3.3.1                   A simple library ...
league/container                                          2.4.1                   A fast and intuit...
league/csv                                                8.2.3                   Csv data manipula...
league/event                                              2.2.0                   Event package
league/oauth2-server                                      7.4.0                   A lightweight and...
lullabot/amp                                              1.1.4                   A set of useful c...
marc1706/fast-image-size                                  v1.1.6                  fast-image-size i...
markbaker/complex                                         1.4.7                   PHP Class for wor...
markbaker/matrix                                          1.2.0                   PHP Class for wor...
masterminds/html5                                         2.3.0                   An HTML5 parser a...
mglaman/drupal-check                                      1.0.14                  CLI tool for runn...
mglaman/phpstan-drupal                                    0.11.14                 Drupal extension ...
mglaman/phpstan-junit                                     0.11.2                  ErrorFormatter fo...
mkalkbrenner/php-htmldiff-advanced                        0.0.8                   An add-on for the...
myclabs/deep-copy                                         1.9.5                   Create deep copie...
nategood/httpful                                          0.2.20                  A Readable, Chain...
nette/bootstrap                                           v3.0.1                  🅱 Nette Bootst...
nette/di                                                  v3.0.3                  💎 Nette Depend...
nette/finder                                              v2.5.2                  🔍 Nette Finder...
nette/neon                                                v3.1.1                  🍸 Nette NEON: ...
nette/php-generator                                       v3.3.4                  🐘 Nette PHP Ge...
nette/robot-loader                                        v3.2.1                  🍀 Nette RobotL...
nette/schema                                              v1.0.2                  📐 Nette Schema...
nette/utils                                               v3.1.1                  🛠 Nette Utils:...
nikic/php-parser                                          v4.3.0                  A PHP parser writ...
ocramius/package-versions                                 1.4.2                   Composer plugin t...
oomphinc/composer-installers-extender                     v1.1.2                  Extend the compos...
paragonie/random_compat                                   v9.99.99                PHP 5.x polyfill ...
pear/archive_tar                                          1.4.9                   Tar file manageme...
pear/console_getopt                                       v1.4.2                  More info availab...
pear/pear-core-minimal                                    v1.10.9                 Minimal set of PE...
pear/pear_exception                                       v1.0.0                  The PEAR Exceptio...
phar-io/manifest                                          1.0.3                   Component for rea...
phar-io/version                                           2.0.1                   Library for handl...
phayes/geophp                                             1.2                     GeoPHP is a open-...
phpdocumentor/reflection-common                           2.0.0                   Common reflection...
phpdocumentor/reflection-docblock                         4.3.4                   With this compone...
phpdocumentor/type-resolver                               1.0.1                   A PSR-5 based res...
phpfastcache/riak-client                                  3.4.3                   Riak client for P...
phpmailer/phpmailer                                       v6.1.4                  PHPMailer is a fu...
phpoffice/phpspreadsheet                                  1.10.1                  PHPSpreadsheet - ...
phpspec/prophecy                                          v1.10.2                 Highly opinionate...
phpstan/phpdoc-parser                                     0.3.5                   PHPDoc parser wit...
phpstan/phpstan                                           0.11.19                 PHPStan - PHP Sta...
phpstan/phpstan-deprecation-rules                         0.11.2                  PHPStan rules for...
phpunit/php-code-coverage                                 6.1.4                   Library that prov...
phpunit/php-file-iterator                                 2.0.2                   FilterIterator im...
phpunit/php-text-template                                 1.2.1                   Simple template e...
phpunit/php-timer                                         2.1.2                   Utility class for...
phpunit/php-token-stream                                  3.1.1                   Wrapper around PH...
phpunit/phpunit                                           7.5.20                  The PHP Unit Test...
psr/container                                             1.0.0                   Common Container ...
psr/http-message                                          1.0.1                   Common interface ...
psr/log                                                   1.1.0                   Common interface ...
psr/simple-cache                                          1.0.1                   Common interfaces...
psy/psysh                                                 v0.9.12                 An interactive sh...
querypath/querypath                                       3.0.5                   HTML/XML querying...
ralouphie/getallheaders                                   3.0.3                   A polyfill for ge...
relaxedws/couchdb                                         2.0.3                   CouchDB Client
relaxedws/lca                                             dev-master c192d3f      Library used to f...
relaxedws/replicator                                      1.1.0                   couchdb-replicator
robrichards/xmlseclibs                                    3.0.4                   A PHP library for...
sabberworm/php-css-parser                                 8.3.0                   Parser for CSS Fi...
sebastian/code-unit-reverse-lookup                        1.0.1                   Looks up which fu...
sebastian/comparator                                      3.0.2                   Provides the func...
sebastian/diff                                            3.0.2                   Diff implementation
sebastian/environment                                     4.2.3                   Provides function...
sebastian/exporter                                        3.1.2                   Provides the func...
sebastian/global-state                                    2.0.0                   Snapshotting of g...
sebastian/object-enumerator                               3.0.3                   Traverses array s...
sebastian/object-reflector                                1.1.1                   Allows reflection...
sebastian/recursion-context                               3.0.0                   Provides function...
sebastian/resource-operations                             2.0.1                   Provides a list o...
sebastian/version                                         2.0.1                   Library that help...
sensiolabs/security-checker                               v5.0.3                  A security checke...
simplesamlphp/composer-module-installer                   v1.1.6                  A Composer plugin...
simplesamlphp/saml2                                       v4.1.4                  SAML2 PHP library...
simplesamlphp/simplesamlphp                               v1.18.4                 A PHP implementat...
simplesamlphp/simplesamlphp-module-adfs                   v0.9.5                  A module that imp...
simplesamlphp/simplesamlphp-module-authcrypt              v0.9.1                  This module provi...
simplesamlphp/simplesamlphp-module-authfacebook           v0.9.2                  A module that is ...
simplesamlphp/simplesamlphp-module-authorize              v0.9.1                  This module provi...
simplesamlphp/simplesamlphp-module-authtwitter            v0.9.1                  A module that is ...
simplesamlphp/simplesamlphp-module-authwindowslive        v0.9.1                  A module that is ...
simplesamlphp/simplesamlphp-module-authx509               v0.9.1                  A module that is ...
simplesamlphp/simplesamlphp-module-authyubikey            v0.9.1                  A module that is ...
simplesamlphp/simplesamlphp-module-cas                    v0.9.1                  A module that pro...
simplesamlphp/simplesamlphp-module-cdc                    v0.9.1                  A SimpleSAMLphp m...
simplesamlphp/simplesamlphp-module-consent                v0.9.5                  A module that wil...
simplesamlphp/simplesamlphp-module-consentadmin           v0.9.1                  A module that all...
simplesamlphp/simplesamlphp-module-discopower             v0.9.1                  Fancy tabbed disc...
simplesamlphp/simplesamlphp-module-exampleattributeserver v1.0.0                  An example for SA...
simplesamlphp/simplesamlphp-module-expirycheck            v0.9.3                  The expirycheck m...
simplesamlphp/simplesamlphp-module-ldap                   v0.9.4                  A module that pro...
simplesamlphp/simplesamlphp-module-memcachemonitor        v0.9.1                  A module that is ...
simplesamlphp/simplesamlphp-module-memcookie              v1.2.2                  A SimpleSAMLphp m...
simplesamlphp/simplesamlphp-module-metarefresh            v0.9.4                  The metarefresh m...
simplesamlphp/simplesamlphp-module-negotiate              v0.9.4                  The Negotiate mod...
simplesamlphp/simplesamlphp-module-oauth                  v0.9.1                  A SimpleSAMLphp m...
simplesamlphp/simplesamlphp-module-preprodwarning         v0.9.1                  Display a warning...
simplesamlphp/simplesamlphp-module-radius                 v0.9.3                  A module that is ...
simplesamlphp/simplesamlphp-module-riak                   v0.9.1                  A module that is ...
simplesamlphp/simplesamlphp-module-sanitycheck            v0.9.0                  Perform sanity ch...
simplesamlphp/simplesamlphp-module-smartattributes        v0.9.1                  The SmartAttribut...
simplesamlphp/simplesamlphp-module-sqlauth                v0.9.1                  This is a authent...
simplesamlphp/simplesamlphp-module-statistics             v0.9.4                  The SimpleSAMLphp...
simplesamlphp/twig-configurable-i18n                      v2.2                    This is an extens...
solarium/solarium                                         3.8.1                   PHP Solr client
squizlabs/php_codesniffer                                 3.5.4                   PHP_CodeSniffer t...
stack/builder                                             v1.0.5                  Builder for stack...
swagger-api/swagger-ui                                    v3.25.0                  Swagger UI is a ...
symfony-cmf/routing                                       1.4.1                   Extends the Symfo...
symfony/browser-kit                                       v4.4.4                  Symfony BrowserKi...
symfony/class-loader                                      v3.4.35                 Symfony ClassLoad...
symfony/config                                            v3.4.37                 Symfony Config Co...
symfony/console                                           v3.4.35                 Symfony Console C...
symfony/css-selector                                      v3.4.37                 Symfony CssSelect...
symfony/debug                                             v3.4.35                 Symfony Debug Com...
symfony/dependency-injection                              v3.4.35                 Symfony Dependenc...
symfony/dom-crawler                                       v4.2.12                 Symfony DomCrawle...
symfony/event-dispatcher                                  v3.4.35                 Symfony EventDisp...
symfony/filesystem                                        v3.4.37                 Symfony Filesyste...
symfony/finder                                            v4.4.4                  Symfony Finder Co...
symfony/http-foundation                                   v3.4.35                 Symfony HttpFound...
symfony/http-kernel                                       v3.4.35                 Symfony HttpKerne...
symfony/polyfill-ctype                                    v1.12.0                 Symfony polyfill ...
symfony/polyfill-iconv                                    v1.12.0                 Symfony polyfill ...
symfony/polyfill-mbstring                                 v1.12.0                 Symfony polyfill ...
symfony/polyfill-php56                                    v1.12.0                 Symfony polyfill ...
symfony/polyfill-php70                                    v1.12.0                 Symfony polyfill ...
symfony/polyfill-php72                                    v1.13.1                 Symfony polyfill ...
symfony/polyfill-util                                     v1.12.0                 Symfony utilities...
symfony/process                                           v3.4.35                 Symfony Process C...
symfony/psr-http-message-bridge                           v1.1.2                  PSR HTTP message ...
symfony/routing                                           v3.4.35                 Symfony Routing C...
symfony/serializer                                        v3.4.35                 Symfony Serialize...
symfony/translation                                       v3.4.35                 Symfony Translati...
symfony/twig-bridge                                       v3.4.37                 Symfony Twig Bridge
symfony/validator                                         v3.4.35                 Symfony Validator...
symfony/var-dumper                                        v4.4.4                  Symfony mechanism...
symfony/yaml                                              v3.4.35                 Symfony Yaml Comp...
textalk/websocket                                         1.2.0                   WebSocket client ...
theseer/tokenizer                                         1.1.3                   A small library f...
traviscarden/behat-table-comparison                       v0.2.2                  Provides an equal...
twig/extensions                                           v1.5.4                  Common additional...
twig/twig                                                 v1.42.3                 Twig, the flexibl...
typo3/phar-stream-wrapper                                 v3.1.3                  Interceptors for ...
uwmweb/ckeditor_bs_grid                                   dev-uwm-develop e2bd7a0 Allows creating r...
uwmweb/uwmedicineorg_theme                                dev-master 7073e3e      Theme for uwmedic...
vardot/blazy                                              1.8.2.1                 forked from dinbr...
webflo/drupal-finder                                      1.2.0                   Helper class to l...
webmozart/assert                                          1.6.0                   Assertions to val...
webmozart/path-util                                       2.3.0                   A robust cross-pl...
whitehat101/apr1-md5                                      v1.0.0                  Apache's APR1-MD5...
willdurand/geocoder                                       v3.3.2                  The almost missin...
zaporylie/composer-drupal-optimizations                   1.1.1                   Composer plugin t...
zendframework/zend-diactoros                              1.8.7                   PSR HTTP Message ...
zendframework/zend-escaper                                2.6.1                   Securely and safe...
zendframework/zend-feed                                   2.12.0                  provides function...
zendframework/zend-stdlib                                 3.2.1                   SPL extensions, a...
zumba/amplitude-php                                       1.0.1                   PHP SDK for Ampli...
